city,city_name,event_name,url,fee,date,join_cnt
beijing,北京,奇妙的不确定性 Intriguing Uncertainties,https://www.douban.com/event/31942233/,免费,2019-06-06T10:00:00,821
beijing,北京,2019中国国际VR/AR虚拟现实增强现实展览会,https://www.douban.com/event/30655471/,免费,2019-10-24T09:30:00,451
beijing,北京,此心安处是吾乡，告别日常丧，每周寺院清净2天义工旅行，回归平静。,https://www.douban.com/event/31731165/,0.00元(费用aa),2019-08-09T19:30:00,245
beijing,北京,宠魅·北京 配音沙龙来啦！零基础可参与！【可团体定制】,https://www.douban.com/event/32462584/,98元(单人)起,2019-08-11T13:00:00,326
beijing,北京,穆夏：新艺术运动先锋,https://www.douban.com/event/32361023/,60元(全票),2019-10-19T09:00:00,281
beijing,北京,乐队的夏天撞上海陀的夏天，面孔|刺猬|click#15，寻梦瑞士小镇。,https://www.douban.com/event/32565910/,免费,2019-07-20T10:00:00,395
beijing,北京,小伙伴们，周末提高自己的生活乐趣，来和我们一起玩耍吧,https://www.douban.com/event/32641787/,免费,2019-08-02T10:00:00,356
beijing,北京,烧脑私董会，烧脑朋友圈！,https://www.douban.com/event/32607590/,50元(普通),2019-07-27T14:00:00,357
beijing,北京,一分钟心理学 — 一分钟面对面识人！,https://www.douban.com/event/31294626/,免费,2019-10-03T18:30:00,270
beijing,北京,星七工体每周末派对,https://www.douban.com/event/32691544/,29元(女士)起,2019-09-01T22:00:00,13
beijing,北京,每周末 北京户外1日游 带你玩遍北京各个景点,https://www.douban.com/event/32577326/,免费,2019-08-24T07:30:00,330
beijing,北京,周末 狼人杀唱歌 35元畅玩一天  饮料+场地++所有道具,https://www.douban.com/event/32540172/,35元(活动费),2019-07-27T11:00:00,328
beijing,北京,周末不宅，和感兴趣认识的人相约到咖啡厅聊天聊地（北京）,https://www.douban.com/event/32571594/,免费,2019-07-18T11:00:00,264
beijing,北京,☆主题派对|纵然星河万千，不及你深情一眼！,https://www.douban.com/event/32690898/,89元(优惠票),2019-08-31T15:00:00,21
beijing,北京,每周末-北京户外出行游玩 让你的周末充满阳光,https://www.douban.com/event/32540214/,20元(起步价),2019-07-27T07:30:00,235
beijing,北京,大卫·霍克尼: 大水花,https://www.douban.com/event/32657266/,220元(全价票),2019-08-30T10:00:00,156
beijing,北京,每周六 射箭活动 免费教学百步穿杨 让你来嗨一次,https://www.douban.com/event/32636875/,免费,2019-08-03T10:30:00,218
beijing,北京,百里画廊骑行｜48公里环线休闲骑游-赏醉美延庆山水百里画廊,https://www.douban.com/event/32727607/,免费,2019-08-31T06:30:00,207
beijing,北京,北京最美乡村香屯-京北大峡谷-观古长城-水泉沟一日休闲穿越,https://www.douban.com/event/32588165/,80元(VIP),2019-07-27T07:00:00,208
beijing,北京,"来加入小柒の圈子,体验有趣的北京玩乐故事",https://www.douban.com/event/32544126/,免费,2019-07-13T18:30:00,319
beijing,北京,周末不要宅在家，小伙伴们一起耍,https://www.douban.com/event/32630922/,免费,2019-08-04T13:00:00,195
beijing,北京,每周六 射箭活动 免费教学 打卡网红活动 百步穿杨 让你来嗨一次,https://www.douban.com/event/32540379/,115元(成人价),2019-07-29T10:30:00,210
beijing,北京,每周日 羽毛球活动 领队带你周末运动起来,https://www.douban.com/event/32636973/,免费,2019-08-04T12:00:00,207
beijing,北京,【十一国庆】黄山·西递·宏村·千岛湖·木坑竹海·屯溪老街,https://www.douban.com/event/32179102/,230元(预付款),2019-08-31T07:30:00,182
